^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS34
!dataset_title = Heat shock from 37°C to 25°C time course
!dataset_description = Heat shock from 37°C to 25°C. Samples collected at 15, 30, 45, 60 and 90 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 11102521
!dataset_platform = GPL56
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = spotted DNA/cDNA
!dataset_feature_count = 8448
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 2
!dataset_sample_count = 5
!dataset_value_type = log ratio
!dataset_reference_series = GSE18
!dataset_order = ordered
!dataset_update_date = Nov 03 2005
^SUBSET = GDS34_1
!subset_dataset_id = GDS34
!subset_description = 15 minute
!subset_sample_id = GSM1019
!subset_type = time
^SUBSET = GDS34_2
!subset_dataset_id = GDS34
!subset_description = 30 minute
!subset_sample_id = GSM1020
!subset_type = time
^SUBSET = GDS34_3
!subset_dataset_id = GDS34
!subset_description = 45 minute
!subset_sample_id = GSM1021
!subset_type = time
^SUBSET = GDS34_4
!subset_dataset_id = GDS34
!subset_description = 60 minute
!subset_sample_id = GSM1022
!subset_type = time
^SUBSET = GDS34_5
!subset_dataset_id = GDS34
!subset_description = 90 minute
!subset_sample_id = GSM1023
!subset_type = time
^DATASET = GDS34
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1019 = Value for GSM1019: 25C -- 15 min; src: 37C; src: 25C - 15 min
#GSM1020 = Value for GSM1020: 25C -- 30 min; src: 37C; src: 25C - 30 min
#GSM1021 = Value for GSM1021: 25C -- 45 min; src: 37C; src: 25C - 45 min
#GSM1022 = Value for GSM1022: 25C -- 60 min; src: 37C; src: 25C - 60 min
#GSM1023 = Value for GSM1023: 25C -- 90 min; src: 37C; src: 25C - 90 min
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1019	GSM1020	GSM1021	GSM1022	GSM1023
1	CDC28	-0.752	-0.253	-0.221	0.158	0.1
2	TOS1	1.102	1.333	0.721	1.385	1.463
3	EXO5	0.799	0.688	0.676	-0.114	0.313
4	UBS1	0.281	0.038	0.178	0.113	0.03
5	POP7	-0.119	-0.097	-0.28	-0.377	-0.502
6	SSE2	-0.444	-0.911	-0.573	-1.925	-1.449
7	MTC4	0.492	0.389	0.825	0.682	-0.287
8	POP4	0.466	0.294	0.315	0.363	-0.083
9	YBR259W	0.425	0.167	0.492	-0.784	0.159
10	TAE1	-0.27	-0.587	-0.333	-0.076	-0.085
11	SHM1	0.594	0.66	0.556	1.271	1.044
12	TSC10	-0.335	-0.844	-0.139	0.751	0.634
13	APA1	0.244	0.245	-0.183	0.744	0.375
14	PBN1	-0.118	-0.143	-0.254	-0.305	-0.136
15	SPB1	2.187	2.054	1.534	1.054	0.677
16	PEX34	-0.542	-0.376	-0.416	-0.065	-0.134
17	FYV5	-0.12	0.089	0.112	0.036	0.102
18	MRC1	-0.785	-0.738	-0.03	0.071	-0.344
19	PWP2	0	-0.34	0.127	-1.978	-0.301
20	TAH1	-0.842	-0.803	0.096	0.78	-0.239
21	YCR061W	-1.816	-1.986	-0.826	-1.178	-1.36
22	YCR064C	-0.619	-0.746	-0.101	null	0.156
23	RAD18	-0.376	-0.343	-0.024	-0.611	-0.684
24	ATG15	-1.456	-0.805	-0.265	-1.349	-1.098
25	YDL026W	0.354	-2.668	null	null	-0.322
26	MPS1	-0.038	-0.616	-0.23	null	-0.282
27	PRP9	-0.367	-1.042	null	null	-0.967
28	YDL032W	-0.269	-0.441	-0.172	-2.416	-1.06
29	YDL034W	0.069	-0.086	null	1.766	0.078
30	PUS9	null	-0.332	null	-1.828	-0.348
31	UBP1	1.291	0.609	0.804	-0.036	0.495
32	YDL124W	-0.566	-0.894	-1.051	-0.606	-0.246
33	CDC48	0.577	0.573	-0.086	0.258	0.081
34	VCX1	0.451	0.477	0.018	0.889	1.053
35	RPP1B	null	null	null	-1.446	-0.688
36	CDC53	-0.146	-0.656	-0.399	-0.761	-0.188
37	YDL218W	-0.495	-1.634	0.129	-1.017	-0.385
38	CDC13	-0.635	-0.207	null	-1.339	-0.129
