25	TFC3	-0.322	-0.387	-0.686	-0.342	-0.407	-0.199	-0.209
26	EFB1	1.029	0.993	1.006	0.305	-0.63	-1.034	0.068
27	SSA1	0.33	0.609	0.512	0.728	-0.221	0.437	-0.613
28	FUN14	-0.092	0.031	0.091	0.156	0.566	0.694	-0.29
29	MDM10	-0.172	0.027	0.097	0	0.284	0.509	-0.207
30	CYS3	0.552	0.462	0.46	0.721	0.358	0.309	-0.228
31	YAR061W	0.062	0.1	-0.11	-0.303	-0.357	0.287	0.173
32	YAR068W	0.382	0.69	-0.062	-0.447	-0.499	0.233	0.216
33	YAR070C	-0.33	-0.111	-0.748	-0.326	-0.72	-0.103	-0.154
34	YAR073W	0.716	0.656	0.643	0.661	0.153	-0.719	-0.642
35	ECM15	0.746	0.761	0.44	0.255	-0.013	0.345	0.304
36	HTA2	1.232	1.113	0.903	0.237	-0.93	-1.256	0.187
37	RPL23A	1.184	1.155	0.788	0.186	-0.888	-1.729	0.156
38	AVT5	0.134	0.388	0.387	0.055	0.155	0.093	0.329
39	MAP2	0.344	0.597	0.36	0.248	0.459	0.086	-0.406
40	ROX3	-0.103	0.355	0.399	0.053	0.256	0.45	-0.308
41	MRX3	0.13	0.256	-0.006	-0.106	0.203	0.982	0.282
42	BRN1	-0.543	-0.328	-0.112	-0.593	-0.678	-0.566	0.08
43	NRG2	-0.544	-0.415	0.195	-0.1	0.792	0.545	-0.057
44	BAP2	0.429	0.433	0.676	0.228	0.156	-0.444	0.387
45	ALG14	0.436	0.615	0.365	0.046	0.213	0.273	0.263
46	HSP26	-1.115	-0.483	-0.722	-0.705	-0.307	1.655	1.406
47	PFF1	0.522	0.605	0.476	-0.016	-0.365	-0.256	0.177
48	ECM8	-0.126	0.08	0.023	-0.199	-0.154	0.773	0.415
49	CDC28	-0.03	0.322	0.094	0.376	0.562	0.662	-0.126
50	TOS1	0.592	0.337	0.441	0.426	0.825	0.738	0.949
51	EXO5	0.381	0.393	0.479	0.325	0.291	0.214	0.083
52	UBS1	0.136	0.474	0.52	0.418	0.297	0.325	-0.057
53	POP7	0.395	0.571	0.415	0.09	-0.089	0.068	-0.139
54	SSE2	-1.499	-1.44	-0.921	-0.098	0.759	1.869	-0.043
55	MTC4	-0.328	0.086	0.185	-0.094	-0.028	0.344	-0.303
56	POP4	0.62	0.844	0.498	0.045	-0.185	0.105	0
57	YBR259W	0.067	0.36	0.37	0.407	0.191	0.427	0.234
58	TAE1	0.589	0.729	0.601	0.195	0.07	-0.412	-0.098
59	SHM1	0.647	0.614	0.42	0.3	-0.059	-0.377	0.181
60	TSC10	0.775	0.849	0.518	0.116	-0.076	-0.09	0.102
61	APA1	0.701	0.83	0.693	0.647	0.18	-0.335	-0.592
62	PBN1	0.173	0.415	0.333	0.371	0.35	0.28	-0.144
63	SPB1	0.651	0.675	0.143	-0.981	-1.39	-1.143	0.245
64	PEX34	0.194	0.197	0.231	0.074	0.229	0.565	0.067
65	FYV5	0.469	0.563	0.041	-0.31	-0.072	0.507	0.214
66	MRC1	-0.091	0.125	-0.019	-0.279	-0.455	-0.183	-0.056
67	PWP2	0.472	0.52	0.17	-0.657	-1.028	-1.34	0.119
68	TAH1	0.577	0.573	0.381	-0.076	-0.113	0.163	0.208
69	YCR061W	-0.1	0.124	-0.162	0.104	0.779	1.25	0.129
70	YCR064C	0.16	0.231	0	-0.441	-0.408	0.329	0.51
71	RAD18	0.018	0.481	0.06	-0.037	-0.257	-0.02	-0.027
73	YDL026W	-0.556	-0.046	0.308	0.444	0.186	0.9	-0.84
74	MPS1	0	-0.128	-0.097	-0.02	-0.272	-0.198	-0.333
75	PRP9	-0.087	0.245	0.129	0	-0.229	-0.1	-0.646
76	YDL032W	-0.131	0.322	0.531	-0.241	-0.505	-0.234	0
77	YDL034W	0.044	0.128	0.135	-0.153	0.084	0.415	0.057
79	UBP1	0.287	0.253	0.324	-0.128	-0.247	-0.223	-0.231
80	YDL124W	-2.034	-0.96	0.121	1.091	1.638	1.648	-0.997
81	CDC48	0.14	-0.043	0.041	0.288	0.731	0.725	-0.638
82	VCX1	0.592	0.611	0.409	0.341	0.174	0.838	0.306
84	CDC53	-0.088	0.073	0.108	0.018	0.311	0.422	-0.535
85	YDL218W	0.082	0.044	0.142	-0.051	0.716	0.624	0.273
86	CDC13	-0.485	0	0.142	-0.71	0	0.363	-0.163
87	FMP45	-1.465	-1.538	-1.783	-0.579	0.887	2.359	-0.22
88	WHI4	0.194	0.21	0.156	-0.081	0.236	0.515	0.193
89	GCS1	0.304	0.231	0.353	0.321	0.356	-0.465	-0.313
90	YDL228C	0.054	-0.415	-0.126	-0.295	-0.436	-0.107	-0.263
91	RTR2	0.112	0.058	0.059	-0.015	-0.337	-0.142	0
92	DOS2	0.12	0.281	0.257	-0.241	-0.113	-0.332	-0.366
93	FMP16	-0.346	-0.049	-0.519	-0.657	-0.408	-0.248	-0.1
94	IPT1	0.19	0.007	0.005	0.44	0.912	0.677	0.619
95	TPS2	-1.343	-0.98	-0.863	0.372	1.277	1.377	-0.292
96	RAD55	-0.056	0.386	-0.174	-0.229	-0.047	0.403	0.149
97	NBP2	0.103	0.524	0.528	-0.186	-0.144	0	-0.361
98	SEC1	0.033	0.424	0.255	-0.042	0.229	0.247	-0.369
99	SEC5	0.241	-0.31	0.144	0.464	-0.624	-0.181	0.337
100	CDC37	-0.076	0.315	0.453	0.316	0.632	0.327	-1.026
101	SEC7	0.162	0.158	0.556	-0.31	-0.351	-0.218	-0.305
102	SUP35	0.769	0.829	0.533	-0.04	-0.15	-0.516	-0.303
103	CIA1	0.464	0.79	0.467	-0.12	-0.171	-0.189	0.054
104	MSW1	0.016	-0.133	0.235	0.036	0.379	0.488	-0.253
105	YDR269C	0	-0.229	-0.167	-0.176	-0.515	-0.397	0.086
106	CCC2	0.243	-0.093	0.159	-0.188	-0.41	-0.501	0.458
107	YDR271C	0.313	0.26	0.127	-0.129	-0.358	-0.055	0.646
108	GLO2	0.009	0.084	0.037	0.083	0.576	0.796	-0.396
109	TRP4	0.677	0.842	0.52	0.19	-0.03	-0.209	0.021
110	SPC110	-0.178	0.023	0	-0.232	0.074	0.154	-0.128
111	GGA1	-0.931	-0.721	-0.43	0.06	0.755	1.034	-0.473
112	YDR360W	-0.196	-0.628	-0.423	-0.725	-0.285	-0.026	-0.042
113	TFC6	0.016	0.689	0.151	-0.208	0.089	-0.098	-0.191
114	CDC40	0.222	0.478	0.169	0.01	-0.118	0.22	-0.135
