^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS1033
!dataset_title = fhl1 and ifh1 deletion mutants
!dataset_description = Expression profiling of fhl1 single deletion mutant and ifh1 fhl1 double deletion mutant.  Mutants generated from W303 strain.  Results indicate that Ifh1p and Fhl1p function together to regulate the transcription of ribosomal protein genes.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 15692568
!dataset_platform = GPL90
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 9335
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 6
!dataset_value_type = transformed count
!dataset_reference_series = GSE2096
!dataset_order = none
!dataset_update_date = Oct 10 2012
^SUBSET = GDS1033_1
!subset_dataset_id = GDS1033
!subset_description = wild type
!subset_sample_id = GSM37903,GSM37904
!subset_type = genotype/variation
^SUBSET = GDS1033_2
!subset_dataset_id = GDS1033
!subset_description = fhl1 deletion
!subset_sample_id = GSM37905,GSM37906
!subset_type = genotype/variation
^SUBSET = GDS1033_3
!subset_dataset_id = GDS1033
!subset_description = fhl1 ifh1 double deletion
!subset_sample_id = GSM37907,GSM37908
!subset_type = genotype/variation
^DATASET = GDS1033
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM37903 = Value for GSM37903: Wild type (first experiment); src: Total RNA from yeast
#GSM37904 = Value for GSM37904: WT (second experiment); src: Yeast total RNA.
#GSM37905 = Value for GSM37905: Delta FHL1 (second experiment); src: Yeast total RNA
#GSM37906 = Value for GSM37906: Delta FHL1 (first experiment); src: Yeast total RNA.
#GSM37907 = Value for GSM37907: FHL1, IFH1 double deletion (first experiment); src: Yeast total RNA.
#GSM37908 = Value for GSM37908: FHL1, IFH1 double deleted strain (second experiment); src: Yeast total RNA.
!dataset_table_begin
ID_REF	IDENTIFIER	GSM37903	GSM37904	GSM37905	GSM37906	GSM37907	GSM37908
10000_at	YLR331C	3.27127	3.29708	3.27127	3.32014	3.26392	3.286
10001_at	MID2	8.71004	9.03296	9.17637	9.14353	9.21563	9.38272
10002_i_at	RPS25B	10.9245	11.3493	10.898	11.2284	10.844	11.3046
10003_f_at	RPS25B	12.2316	12.2139	12.2394	12.1507	12.0404	12.0588
10004_at	YLR334C	4.63583	4.81552	4.65319	4.38465	4.68528	4.40697
10005_at	NUP2	8.90221	8.89171	8.84918	8.40068	8.78006	8.42547
10006_at	SGD1	7.71877	8.04054	7.9506	8.06618	7.7344	8.29958
10007_at	VRP1	9.67223	9.70417	9.21447	9.14749	9.44979	9.50955
10008_at	YLR338W	6.27099	6.57031	6.10269	5.90603	6.16231	6.03567
10009_at	YLR339C	6.72982	6.86151	6.29546	6.23113	6.37896	6.34068
10010_at	ATP14	10.5982	10.122	11.1036	10.9467	10.9652	10.8327
10011_at	YLR296W	5.33778	4.92384	5.38368	4.97406	5.62299	5.14125
10012_at	YLR297W	6.94989	6.61452	6.5776	6.35375	6.3071	6.48939
10013_at	YHC1	6.86026	6.54469	7.92412	7.3839	7.7802	7.46742
10014_at	ECM38	9.85549	9.42351	10.0121	9.72209	10.0756	9.80978
10015_at	EXG1	11.3889	11.4241	11.8275	11.7455	11.7371	11.8873
10016_at	HRI1	9.89594	10.0417	9.80855	9.63333	9.67702	9.44135
10017_at	YLR302C	5.68588	5.6109	5.6195	5.33469	5.68588	5.41162
10018_at	MET17	12.4674	12.5072	12.1225	11.9461	11.2669	11.4174
10019_at	ACO1	11.618	11.2326	11.5283	11.4015	11.477	11.3032
10020_at	STT4	9.04344	8.84502	9.35157	8.91432	9.18691	8.88629
10021_at	UBC12	6.66315	7.0877	7.69296	7.54461	7.29515	7.46995
10022_at	CDA1	5.2038	5.08646	5.32557	4.65659	5.29234	4.77276
10023_at	CDA2	5.80254	6.34056	5.81467	5.6453	5.86977	5.87152
10024_at	IMH1	8.84444	8.52559	8.94705	8.67606	8.84444	8.88141
10025_at	CDC25	7.18497	6.97487	7.57852	7.36782	7.3164	7.58937
10026_at	YLR311C	7.16139	7.11126	7.5028	7.61999	7.5028	7.71993
