^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS111
!dataset_title = Steady-state temperature (y14)
!dataset_description = Samples collected from cells grown continuously at 15°C, 17°C, 21°C, 25°C, 29°C, 33°C and 36°C. Included as part of a detailed characterization of global expression programs triggered by stress.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 11102521
!dataset_platform = GPL54
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = spotted DNA/cDNA
!dataset_feature_count = 9216
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 2
!dataset_sample_count = 8
!dataset_value_type = log ratio
!dataset_reference_series = GSE18
!dataset_order = ordered
!dataset_update_date = Nov 03 2005
^SUBSET = GDS111_1
!subset_dataset_id = GDS111
!subset_description = 15°C
!subset_sample_id = GSM1041
!subset_type = temperature
^SUBSET = GDS111_2
!subset_dataset_id = GDS111
!subset_description = 17°C
!subset_sample_id = GSM1047
!subset_type = temperature
^SUBSET = GDS111_3
!subset_dataset_id = GDS111
!subset_description = 21°C
!subset_sample_id = GSM1042
!subset_type = temperature
^SUBSET = GDS111_4
!subset_dataset_id = GDS111
!subset_description = 25°C
!subset_sample_id = GSM1043
!subset_type = temperature
^SUBSET = GDS111_5
!subset_dataset_id = GDS111
!subset_description = 29°C
!subset_sample_id = GSM1044
!subset_type = temperature
^SUBSET = GDS111_6
!subset_dataset_id = GDS111
!subset_description = 33°C
!subset_sample_id = GSM1045
!subset_type = temperature
^SUBSET = GDS111_7
!subset_dataset_id = GDS111
!subset_description = 36°C
!subset_sample_id = GSM1046,GSM1055
!subset_type = temperature
^DATASET = GDS111
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1041 = Value for GSM1041: steady state 15 dec C; src: pool; src: 15 deg C
#GSM1047 = Value for GSM1047: steady state 17 dec C; src: pool; src: 17 deg C
#GSM1042 = Value for GSM1042: steady state 21 dec C; src: pool; src: 21 deg C
#GSM1043 = Value for GSM1043: steady state 25 dec C; src: pool; src: 25 deg C
#GSM1044 = Value for GSM1044: steady state 29 dec C; src: pool; src: 29 deg C
#GSM1045 = Value for GSM1045: steady state 33 dec C; src: pool; src: 33 deg C
#GSM1046 = Value for GSM1046: steady state 36 dec C; src: pool; src: 36 deg C
#GSM1055 = Value for GSM1055: steady state 36 dec C: y14n095; src: pool; src: 36 deg C
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1041	GSM1047	GSM1042	GSM1043	GSM1044	GSM1045	GSM1046	GSM1055
1	GENOMIC 1X	-0.303	-0.899	0.105	-0.356	-0.585	0.054	-0.363	-1.131
2	3XSSC	-0.363	0.585	-0.585	1.17	0.415	0	2.17	0.396
3	GENOMIC 0.5X	-0.807	-1.347	-0.833	-0.468	-0.897	-0.527	-0.704	-0.767
4	3XSSC	0	-0.848	-1.138	0.585	0	0	-2.907	-1.737
5	GENOMIC 0.25X	-0.369	-0.909	-0.061	-0.047	-0.158	-0.248	-0.769	-0.534
6	3XSSC	0	-1.585	-0.652	0	2.322	1.585	0.515	4.737
7	EMPTY	-1	-0.634	-1.585	-0.343	0.128	-1.254	-0.971	-0.485
8	EMPTY	null	0.737	null	0	null	-1.585	null	0.29
9	EMPTY	-1	null	null	1	null	null	null	null
10	EMPTY	-1	null	-0.585	-0.585	null	null	null	null
11	EMPTY	null	-0.222	null	null	1	0	0	null
12	EMPTY	null	-1	-2.585	1	null	-0.585	-0.346	1.678
13	EMPTY	null	-0.585	null	0	null	null	-1.078	null
14	EMPTY	-1	0.585	-2.322	-2.17	null	-1.585	null	null
15	EMPTY	0	-0.415	-1.585	null	null	null	null	null
16	EMPTY	null	0.415	-1.585	-1.807	null	-1.708	null	-0.83
17	EMPTY	null	-0.363	null	0	null	-1.503	-1	null
18	EMPTY	null	1.222	-1	null	-2	1	-1.585	null
19	EMPTY	-2.322	null	-2	null	1	null	2	null
20	EMPTY	null	null	null	-2	0	null	-0.485	null
21	EMPTY	null	-0.387	null	-0.567	null	null	null	null
22	EMPTY	1	null	-0.322	-0.415	null	0	0	null
23	EMPTY	null	null	null	null	1	null	null	-0.415
24	EMPTY	null	0.415	null	0.71	-1	-2.322	0	null
25	TFC3	-0.943	-0.237	-1.447	0.152	0.16	-0.613	-0.816	-0.348
26	EFB1	0.467	0.628	0.473	0.716	0.724	0.278	-0.803	-0.298
27	SSA1	0.721	-0.049	0.212	0.277	0.456	0.673	0.455	0.291
28	FUN14	0.132	0.173	-0.067	0.067	0.309	0.313	0.298	0.246
29	MDM10	-0.272	-0.355	-0.165	0.144	0.359	0.397	-0.136	0.158
30	CYS3	0.341	0.038	0.682	0.75	0.872	0.409	0.22	0.074
31	YAR061W	0.165	-1.092	0.234	-0.027	0.241	0.911	0.152	0.031
32	YAR068W	-0.097	-1.227	0.039	0.388	0.435	0.646	0.386	0.076
33	YAR070C	0.982	0.94	-0.186	-0.399	-0.574	-0.768	-0.292	-0.154
34	YAR073W	1.016	0.353	0.927	0.558	0.345	0.063	-0.651	-0.698
35	ECM15	0.128	0.288	0.5	0.659	0.714	0.302	0.352	0.072
36	HTA2	0.243	0.493	0.736	0.83	0.76	0.372	0.135	0.016
37	RPL23A	0.012	0.566	0.978	0.828	0.717	0.293	-0.088	-0.066
